method,accuracy,par10_mean,fold,scenario
SBS,0.6502463054187192,7781.167362413794,1,CSP-2010
VBS_Oracle,1.0,6283.687956344828,1,CSP-2010
Random,0.5,9538.287354366994,1,CSP-2010
RandomForest,0.8669950738916257,7240.523647605912,1,CSP-2010
XGBoost,0.8669950738916257,7232.243064527095,1,CSP-2010
SBS,0.7178217821782178,4321.236302826732,2,CSP-2010
VBS_Oracle,1.0,3099.3146118712875,2,CSP-2010
Random,0.5,6627.972089153467,2,CSP-2010
RandomForest,0.8811881188118812,4040.376310460396,2,CSP-2010
XGBoost,0.8910891089108911,4033.021001668317,2,CSP-2010
SBS,0.6485148514851485,9197.89120158911,3,CSP-2010
VBS_Oracle,1.0,7779.278811866337,3,CSP-2010
Random,0.5,11512.10291588614,3,CSP-2010
RandomForest,0.8663366336633663,8255.197009301983,3,CSP-2010
XGBoost,0.8613861386138614,8255.198880321783,3,CSP-2010
SBS,0.693069306930693,6026.774254866336,4,CSP-2010
VBS_Oracle,1.0,5741.130113222773,4,CSP-2010
Random,0.5,9290.110196881187,4,CSP-2010
RandomForest,0.9158415841584159,6220.555633524753,4,CSP-2010
XGBoost,0.9158415841584159,5991.804655722773,4,CSP-2010
SBS,0.6683168316831684,8498.656291168318,5,CSP-2010
VBS_Oracle,1.0,7752.641472450496,5,CSP-2010
Random,0.5,10935.290704467823,5,CSP-2010
RandomForest,0.8415841584158416,8243.75715459901,5,CSP-2010
XGBoost,0.8267326732673267,8243.770103138615,5,CSP-2010
SBS,0.7376237623762376,6762.977376851486,6,CSP-2010
VBS_Oracle,1.0,6021.638857405942,6,CSP-2010
Random,0.5,10132.121339982672,6,CSP-2010
RandomForest,0.8613861386138614,6987.654875034653,6,CSP-2010
XGBoost,0.8465346534653465,7233.368551356437,6,CSP-2010
SBS,0.6305418719211823,7178.461779098521,7,CSP-2010
VBS_Oracle,1.0,6704.922396886699,7,CSP-2010
Random,0.5,9921.844063369459,7,CSP-2010
RandomForest,0.8522167487684729,6950.146211689655,7,CSP-2010
XGBoost,0.8177339901477833,6950.15988446798,7,CSP-2010
SBS,0.6650246305418719,7678.329030763547,8,CSP-2010
VBS_Oracle,1.0,7434.041031541871,8,CSP-2010
Random,0.5,10686.419922009854,8,CSP-2010
RandomForest,0.896551724137931,7679.266141605912,8,CSP-2010
XGBoost,0.8866995073891626,7924.032405137931,8,CSP-2010
SBS,0.7029702970297029,7543.558351376237,9,CSP-2010
VBS_Oracle,1.0,6333.796972722772,9,CSP-2010
Random,0.5,10302.360694346535,9,CSP-2010
RandomForest,0.8663366336633663,7268.094762712872,9,CSP-2010
XGBoost,0.8613861386138614,7027.873167326731,9,CSP-2010
SBS,0.6945812807881774,7022.278649901478,10,CSP-2010
VBS_Oracle,1.0,6285.47015513793,10,CSP-2010
Random,0.5,10250.771765014779,10,CSP-2010
RandomForest,0.8817733990147784,6736.660508660099,10,CSP-2010
XGBoost,0.8916256157635468,6736.65833657143,10,CSP-2010
