method,accuracy,par10_mean,fold,scenario
SBS,0.23529411764705882,14914.079044117647,1,QBF-2011
VBS_Oracle,1.0,6205.89125,1,QBF-2011
Random,0.2,18613.096102941174,1,QBF-2011
RandomForest,0.8455882352941176,7791.0353676470595,1,QBF-2011
XGBoost,0.8308823529411765,8047.258088235295,1,QBF-2011
SBS,0.25547445255474455,17156.544233576642,2,QBF-2011
VBS_Oracle,1.0,10831.789708029197,2,QBF-2011
Random,0.2,20582.899766423358,2,QBF-2011
RandomForest,0.7153284671532847,12446.377372262776,2,QBF-2011
XGBoost,0.6934306569343066,13493.657445255474,2,QBF-2011
SBS,0.2116788321167883,18249.636131386862,3,QBF-2011
VBS_Oracle,1.0,9538.108540145986,3,QBF-2011
Random,0.2,21058.812175182484,3,QBF-2011
RandomForest,0.7445255474452555,12748.564598540146,3,QBF-2011
XGBoost,0.7518248175182481,12497.501167883209,3,QBF-2011
SBS,0.30656934306569344,13479.942262773722,4,QBF-2011
VBS_Oracle,1.0,6638.150437956204,4,QBF-2011
Random,0.2,18022.59569343066,4,QBF-2011
RandomForest,0.8175182481751825,6915.377518248175,4,QBF-2011
XGBoost,0.8175182481751825,7177.9429927007295,4,QBF-2011
SBS,0.26277372262773724,15881.311094890512,5,QBF-2011
VBS_Oracle,1.0,8467.045182481752,5,QBF-2011
Random,0.2,19127.957664233578,5,QBF-2011
RandomForest,0.7445255474452555,11080.524452554746,5,QBF-2011
XGBoost,0.7226277372262774,10829.804744525547,5,QBF-2011
SBS,0.23357664233576642,14802.206861313867,6,QBF-2011
VBS_Oracle,1.0,8249.267883211678,6,QBF-2011
Random,0.2,19851.371664233575,6,QBF-2011
RandomForest,0.781021897810219,10873.612043795622,6,QBF-2011
XGBoost,0.7737226277372263,10881.478686131386,6,QBF-2011
SBS,0.25547445255474455,14537.465766423355,7,QBF-2011
VBS_Oracle,1.0,6642.60905109489,7,QBF-2011
Random,0.2,18602.979459854014,7,QBF-2011
RandomForest,0.781021897810219,8722.891094890512,7,QBF-2011
XGBoost,0.7445255474452555,8479.134598540146,7,QBF-2011
SBS,0.29927007299270075,13776.619489051094,8,QBF-2011
VBS_Oracle,1.0,8719.98693430657,8,QBF-2011
Random,0.2,20062.580423357664,8,QBF-2011
RandomForest,0.7445255474452555,11644.164671532848,8,QBF-2011
XGBoost,0.7664233576642335,11111.084160583941,8,QBF-2011
SBS,0.31386861313868614,14804.12204379562,9,QBF-2011
VBS_Oracle,1.0,8489.691605839416,9,QBF-2011
Random,0.2,20756.84620437956,9,QBF-2011
RandomForest,0.8029197080291971,10317.294160583942,9,QBF-2011
XGBoost,0.7956204379562044,10583.536204379561,9,QBF-2011
SBS,0.25735294117647056,15699.438897058819,10,QBF-2011
VBS_Oracle,1.0,9581.98338235294,10,QBF-2011
Random,0.2,21310.753367647056,10,QBF-2011
RandomForest,0.8014705882352942,12765.697720588236,10,QBF-2011
XGBoost,0.7867647058823529,12507.331838235294,10,QBF-2011
