method,accuracy,par10_mean,fold,scenario
SBS,0.006211180124223602,3131.246149068323,1,SAT12-ALL
VBS_Oracle,1.0,315.63950310559005,1,SAT12-ALL
Random,0.03225806451612903,6820.406567822079,1,SAT12-ALL
RandomForest,0.484472049689441,980.355155279503,1,SAT12-ALL
XGBoost,0.4409937888198758,1344.7757142857145,1,SAT12-ALL
SBS,0.012345679012345678,3052.98537037037,2,SAT12-ALL
VBS_Oracle,1.0,373.19209876543215,2,SAT12-ALL
Random,0.03225806451612903,6468.677538829152,2,SAT12-ALL
RandomForest,0.43209876543209874,1033.6004320987654,2,SAT12-ALL
XGBoost,0.43209876543209874,1410.496913580247,2,SAT12-ALL
SBS,0.0,3254.943105590062,3,SAT12-ALL
VBS_Oracle,1.0,239.66037267080742,3,SAT12-ALL
Random,0.03225806451612903,6326.888591464636,3,SAT12-ALL
RandomForest,0.4472049689440994,1130.9111180124223,3,SAT12-ALL
XGBoost,0.4161490683229814,1215.2651552795032,3,SAT12-ALL
SBS,0.018633540372670808,2935.07950310559,4,SAT12-ALL
VBS_Oracle,1.0,257.407701863354,4,SAT12-ALL
Random,0.03225806451612903,6447.645273492285,4,SAT12-ALL
RandomForest,0.4968944099378882,779.94950310559,4,SAT12-ALL
XGBoost,0.484472049689441,925.0029813664595,4,SAT12-ALL
SBS,0.006172839506172839,2701.832901234568,5,SAT12-ALL
VBS_Oracle,1.0,98.29956790123458,5,SAT12-ALL
Random,0.03225806451612903,5967.2625906013545,5,SAT12-ALL
RandomForest,0.4691358024691358,706.9488888888889,5,SAT12-ALL
XGBoost,0.4876543209876543,777.0416049382716,5,SAT12-ALL
SBS,0.006211180124223602,3466.4127329192543,6,SAT12-ALL
VBS_Oracle,1.0,377.67093167701864,6,SAT12-ALL
Random,0.03225806451612903,6834.3273091564815,6,SAT12-ALL
RandomForest,0.4720496894409938,922.8165217391306,6,SAT12-ALL
XGBoost,0.42857142857142855,1208.7732298136646,6,SAT12-ALL
SBS,0.012345679012345678,3006.615740740741,7,SAT12-ALL
VBS_Oracle,1.0,244.5696913580247,7,SAT12-ALL
Random,0.03225806451612903,6354.5372620469925,7,SAT12-ALL
RandomForest,0.47530864197530864,981.2216049382715,7,SAT12-ALL
XGBoost,0.4444444444444444,1149.9916049382716,7,SAT12-ALL
SBS,0.024844720496894408,2796.1341614906833,8,SAT12-ALL
VBS_Oracle,1.0,177.21888198757765,8,SAT12-ALL
Random,0.03225806451612903,6863.793329993989,8,SAT12-ALL
RandomForest,0.4968944099378882,1051.4647826086957,8,SAT12-ALL
XGBoost,0.484472049689441,1192.4611180124223,8,SAT12-ALL
SBS,0.006172839506172839,3445.599135802469,9,SAT12-ALL
VBS_Oracle,1.0,96.60962962962964,9,SAT12-ALL
Random,0.03225806451612903,6841.641348068499,9,SAT12-ALL
RandomForest,0.48148148148148145,430.99049382716044,9,SAT12-ALL
XGBoost,0.4444444444444444,799.3653086419753,9,SAT12-ALL
SBS,0.018633540372670808,3008.7075155279504,10,SAT12-ALL
VBS_Oracle,1.0,233.8555900621118,10,SAT12-ALL
Random,0.03225806451612903,6415.669248647566,10,SAT12-ALL
RandomForest,0.45962732919254656,1192.5385714285712,10,SAT12-ALL
XGBoost,0.4409937888198758,1270.1350931677018,10,SAT12-ALL
