feature,mean_abs_shap,scenario
VG_coeff_variation,0.002644000340646599,SAT12-ALL
BINARYp,0.002323980870438774,SAT12-ALL
HORNY_VAR_coeff_variation,0.0022414896622311364,SAT12-ALL
VCG_VAR_coeff_variation,0.0019312095926833593,SAT12-ALL
VCG_CLAUSE_coeff_variation,0.0019220202689167322,SAT12-ALL
gsat_FirstLocalMinRatio_Mean,0.0018798099442124932,SAT12-ALL
VCG_CLAUSE_entropy,0.0016942032284437375,SAT12-ALL
reducedClauses,0.0015437286538727399,SAT12-ALL
nclausesOrig,0.0014634450056265663,SAT12-ALL
cl_size_q10,0.001413940186686552,SAT12-ALL
