feature,mean_abs_shap,scenario
stats_table_count,0.0315032836797347,CSP-2010
stats_branchingvars,0.0228731766501489,CSP-2010
stats_varcount,0.0223360635906107,CSP-2010
stats_var_discrete,0.0206602950091732,CSP-2010
stats_arity_mean_normalised,0.0171101163730196,CSP-2010
stats_cts_per_var_mean_normalised,0.0153917120701596,CSP-2010
stats_conscount,0.0142811430914182,CSP-2010
normalised_mean_degree,0.0128053743928768,CSP-2010
normalised_width_of_ordering,0.0117996672563847,CSP-2010
mean_degree,0.0108123258504716,CSP-2010
W_OCCS_FORALL_POS_NO_PER_VAR,0.0157048019041579,QBF-2011
LITFP_LITFN,0.0110718048418097,QBF-2011
OCCFP_OCCF,0.0107185562996126,QBF-2011
WOCCN_WOCC,0.0106258083119392,QBF-2011
POS_HORN,0.0101796514216533,QBF-2011
W_OCCS_FORALL_NO_PER_VAR,0.0098941213516681,QBF-2011
OCCFP_OCCFN,0.0097164773636676,QBF-2011
NEG_HORN,0.0094563938187366,QBF-2011
TERNARY_MORE_CLAUSES,0.009081654084046,QBF-2011
OCCS_POS_NO_PER_VAR,0.0089580147917682,QBF-2011
VG_coeff_variation,0.0026440003406465,SAT12-ALL
BINARYp,0.0023239808704387,SAT12-ALL
HORNY_VAR_coeff_variation,0.0022414896622311,SAT12-ALL
VCG_VAR_coeff_variation,0.0019312095926833,SAT12-ALL
VCG_CLAUSE_coeff_variation,0.0019220202689167,SAT12-ALL
gsat_FirstLocalMinRatio_Mean,0.0018798099442124,SAT12-ALL
VCG_CLAUSE_entropy,0.0016942032284437,SAT12-ALL
reducedClauses,0.0015437286538727,SAT12-ALL
nclausesOrig,0.0014634450056265,SAT12-ALL
cl_size_q10,0.0014139401866865,SAT12-ALL
