method,accuracy_mean,accuracy_std,par10_mean,par10_std,scenario
Random,0.5,0.0,9919.728104547892,1326.3788492313215,CSP-2010
RandomForest,0.8730210213139541,0.021635205091072647,6962.223225519524,1208.2218733416917,CSP-2010
SBS,0.6808710920353118,0.0338918438672868,7201.133060085555,1343.685962936132,CSP-2010
VBS_Oracle,1.0,0.0,6343.592237945094,1348.4669604863097,CSP-2010
XGBoost,0.8666024484221821,0.030712203913634134,6962.81300502391,1245.566590897093,CSP-2010
Random,0.2,0.0,19798.989252168314,1150.8187350418239,QBF-2011
RandomForest,0.777844568484328,0.04028934508092141,10530.553900064406,2085.230895217194,QBF-2011
SBS,0.2631333190210391,0.03368755834084075,15330.136582438814,1471.6916355087988,QBF-2011
VBS_Oracle,1.0,0.0,8336.452397541863,1479.8609339623486,QBF-2011
XGBoost,0.7683340489480464,0.042146943979497406,10560.872992647059,2074.04391987722,QBF-2011
Random,0.03225806451612903,0.0,6534.084906012303,297.70447924944773,SAT12-ALL
RandomForest,0.4715167548500882,0.020714237788359152,921.0797071927,226.19341266784318,SAT12-ALL
SBS,0.011157119852772027,0.007638073847351076,3079.9556315850014,252.10195113805813,SAT12-ALL
VBS_Oracle,1.0,0.0,241.4123969020781,98.50993475935232,SAT12-ALL
XGBoost,0.45042941492216854,0.025695057586799297,1129.3308724024232,220.6403867505214,SAT12-ALL
